date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:40:29	42766/42766	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Jan%202021%2004:57:44%20GMT	https://html.dreamitsolution.net/prygo/assets/js/owl.carousel.min.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/owl.carousel.min.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:29	2182/2182	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2007%20Apr%202018%2003:29:00%20GMT	https://html.dreamitsolution.net/prygo/assets/js/jquery.counterup.min.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/jquery.counterup.min.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:30	9027/9027	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2027%20Jul%202017%2004:45:50%20GMT	https://html.dreamitsolution.net/prygo/assets/js/waypoints.min.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/waypoints.min.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:30	7083/7083	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20Aug%202015%2021:29:50%20GMT	https://html.dreamitsolution.net/prygo/assets/js/wow.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/wow.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:30	5485/5485	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Jan%202023%2013:20:08%20GMT	https://html.dreamitsolution.net/prygo/assets/js/imagesloaded.pkgd.min.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/imagesloaded.pkgd.min.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:31	17064/17064	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Feb%202016%2001:38:02%20GMT	https://html.dreamitsolution.net/prygo/venobox/venobox.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/venobox/venobox.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:31	1303/1303	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Sep%202022%2013:30:08%20GMT	https://html.dreamitsolution.net/prygo/assets/js/ajax-mail.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/ajax-mail.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:31	4427/4427	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Mar%202018%2002:34:48%20GMT	https://html.dreamitsolution.net/prygo/assets/js/animated-text.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/animated-text.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:32	9786/9786	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2007%20Jan%202018%2001:18:24%20GMT	https://html.dreamitsolution.net/prygo/venobox/venobox.min.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/venobox/venobox.min.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:33	11766/11766	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2010%20Dec%202019%2010:45:26%20GMT	https://html.dreamitsolution.net/prygo/assets/js/jquery.meanmenu.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/jquery.meanmenu.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:34	34530/34530	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2007%20Aug%202017%2000:15:34%20GMT	https://html.dreamitsolution.net/prygo/assets/js/isotope.pkgd.min.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/isotope.pkgd.min.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:37	5338/5338	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2001%20Apr%202015%2016:50:00%20GMT	https://html.dreamitsolution.net/prygo/assets/js/jquery.scrollUp.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/jquery.scrollUp.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:37	10335/10335	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Feb%202023%2002:41:08%20GMT	https://html.dreamitsolution.net/prygo/assets/js/theme.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/theme.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:38	6244/6244	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Apr%202017%2019:16:36%20GMT	https://html.dreamitsolution.net/prygo/assets/js/jquery.barfiller.js	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/js/jquery.barfiller.js	(from https://html.dreamitsolution.net/prygo/index-2.html)
04:40:38	796/796	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Oct%202025%2023:40:38%20GMT	https://html.dreamitsolution.net/prygo/assets/css/owl.video.play.png	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/css/owl.video.play.png	(from https://html.dreamitsolution.net/prygo/assets/css/owl.carousel.min.css)
04:40:42	134622/134622	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.eot	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.eot	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:45	77400/77400	---M--	200	added ('OK')	font/woff2	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.woff2	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.woff2	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:45	134622/134622	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.eot?	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400d41d.eot	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:45	90672/90672	---M--	200	added ('OK')	font/woff	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.woff	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.woff	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:47	134316/134316	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.ttf	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.ttf	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:47	34350/34350	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.eot	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.eot	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:47	34350/34350	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.eot?	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400d41d.eot	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:48	13600/13600	---M--	200	added ('OK')	font/woff2	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.woff2	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.woff2	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:48	34052/34052	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.ttf	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.ttf	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:50	16780/16780	---M--	200	added ('OK')	font/woff	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.woff	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.woff	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:51	144715/144715	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2007%20Jan%202021%2004:57:44%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.svg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-regular-400.svg	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:40:52	204266/204266	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.eot	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.eot	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:41:02	104004/104004	---M--	200	added ('OK')	font/woff	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.woff	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.woff	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:41:05	730302/730302	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2007%20Jan%202021%2004:57:44%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.svg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-brands-400.svg	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:41:05	204266/204266	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.eot?	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900d41d.eot	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:41:06	203980/203980	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.ttf	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.ttf	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
